geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
0610005C13Rik	0	3	8	4	0	2	12	2	3	5
0610006L08Rik	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	183	191	284	283	218	217	288	269	175	273
0610009E02Rik	3	4	1	1	3	6	1	1	0	4
0610009L18Rik	44	43	43	55	80	55	47	47	47	84
0610009O20Rik	169	180	150	198	121	128	174	190	94	141
0610010F05Rik	533	708	718	634	554	566	614	572	545	747
0610010K14Rik	33	19	33	27	26	37	30	42	14	37
0610012D04Rik	1	0	0	1	0	0	0	2	0	0
0610012G03Rik	539	473	439	667	599	613	752	564	306	809
0610025J13Rik	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	984	930	1127	775	856	813	1049	973	765	988
0610031O16Rik	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	573	494	429	474	533	469	614	576	401	622
0610038B21Rik	12	12	18	14	16	10	18	12	7	14
0610039K10Rik	9	6	3	5	5	5	6	3	0	6
0610040B10Rik	59	54	38	30	56	47	85	46	40	79
0610040F04Rik	5	12	6	9	4	5	8	12	17	25
0610040J01Rik	0	1	1	6	0	1	0	0	7	3
0610043K17Rik	2	0	0	2	0	1	1	2	0	0
1010001B22Rik	3	1	3	1	6	2	2	3	2	8
1010001N08Rik	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	4	0	0	0	3	5	0	0	0	0
1110002L01Rik	113	93	99	97	78	96	80	110	39	127
1110002O04Rik	0	0	0	1	0	0	0	0	0	0
1110003F10Rik	6	10	14	20	4	5	2	10	9	7
1110004E09Rik	335	340	366	373	339	346	408	452	218	325
1110004F10Rik	2400	2250	2190	2237	2159	2292	2605	2809	1988	3365
1110006O24Rik	22	32	41	53	35	36	42	29	21	47
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	604	478	546	590	611	566	758	612	339	803
1110008L16Rik	232	252	450	207	260	237	263	236	259	272
1110008P14Rik	634	498	436	795	738	683	869	734	458	891
1110012L19Rik	393	300	415	336	319	351	446	396	220	514
1110015O18Rik	0	0	0	0	1	0	0	0	0	0
1110017D15Rik	0	0	1	0	4	0	0	0	0	0
1110018N20Rik	2	0	0	1	0	0	0	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	15	18	21	13	20	24	35	42	20	25
1110020A21Rik	11	7	4	9	12	8	12	8	7	10
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	5	8	4	4	4	5	3	4	10	21
1110028F11Rik	0	0	0	1	0	0	0	0	2	4
1110028F18Rik	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	90	82	101	153	136	121	145	126	79	143
1110032F04Rik	5	4	15	20	10	6	14	1	5	0
1110034G24Rik	273	241	277	278	327	311	346	312	253	424
1110035H17Rik	3	2	2	3	5	6	3	1	0	5
1110036E04Rik	0	0	0	0	0	0	0	0	0	0
1110038B12Rik	20	42	19	52	42	46	38	45	30	60
1110038F14Rik	600	543	472	638	548	541	734	585	406	755
1110046J04Rik	17	5	11	2	12	5	2	9	15	15
1110051M20Rik	90	64	124	130	92	92	96	120	48	143
1110057P08Rik	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	380	373	378	496	356	452	548	575	433	900
1110059G10Rik	412	419	496	394	353	363	521	549	383	554
1110060G06Rik	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	46	26	28	42	29	25	43	31	12	35
1190001M18Rik	0	0	10	6	0	2	0	0	0	0
1190002N15Rik	494	466	469	505	375	476	580	638	455	796
1190005I06Rik	2	1	0	4	0	3	7	5	0	2
1190007I07Rik	123	90	97	145	123	141	153	125	66	157
1190028D05Rik	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	0	0	0	0	0	0	0	2	0
1300002E11Rik	400	320	413	542	417	454	535	461	358	816
1300014J16Rik	34	37	62	29	23	29	31	50	29	46
1300017J02Rik	0	2	3	3	2	3	2	10	1	5
1500002C15Rik	23	24	22	12	27	23	30	59	27	38
1500002F19Rik	1	1	2	2	2	4	5	2	0	2
1500004A13Rik	215	173	225	169	197	189	284	261	169	285
1500005C15Rik	0	0	0	0	0	0	0	0	0	0
1500009C09Rik	0	0	0	0	0	1	0	1	0	0
1500009L16Rik	754	812	927	1300	788	1107	1003	1299	673	1860
1500011B03Rik	234	267	311	450	396	529	385	346	302	668
1500011K16Rik	87	82	61	95	71	75	99	86	44	73
1500012K07Rik	0	0	0	0	0	0	0	1	0	0
1500015A07Rik	148	96	206	148	121	158	197	163	121	238
1500015L24Rik	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	1	1	0	0	1	5	0	0	0	0
1500026H17Rik	1	2	0	7	1	1	3	2	2	5
1500035N22Rik	0	0	0	0	0	0	0	0	0	0
1520401A03Rik	0	1	3	6	4	2	4	2	0	6
1600002D24Rik	0	0	0	0	0	0	0	0	0	0
1600002K03Rik	145	154	142	174	153	152	204	193	76	244
1600010M07Rik	4	0	2	1	3	1	7	15	4	4
1600012H06Rik	765	681	693	732	739	735	745	985	642	1114
1600012P17Rik	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	1952	1265	1705	1245	1253	1232	2426	1403	1308	1737
1600014C23Rik	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0
1600017P15Rik	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	489	321	525	631	594	497	538	650	382	842
1600023N17Rik	6	13	9	11	3	1	13	14	0	5
1600025M17Rik	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	0	0	0	2	1	0	2	1	0	1
1700001C02Rik	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	2	4	0	1	0	2	0	1	1	0
1700001D01Rik	0	0	2	0	2	0	0	0	1	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	5	10	5	5	12	7	9	12	5	3
1700001G17Rik	5	7	2	4	3	9	4	0	2	6
1700001J03Rik	0	0	0	0	0	0	0	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	5	1	6	5	1	0	0	0	11
1700001L05Rik	6	1	6	0	2	0	0	1	1	1
1700001L19Rik	0	0	0	0	0	0	0	0	0	0
1700001N15Rik	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	59	18	29	28	46	12	47	15	21	33
1700001P01Rik	0	0	0	9	1	2	0	2	1	2
1700003C15Rik	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	0	0	0
1700003E24Rik	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	2	0	0	1	0	2	1	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	1	0	0	0	1	1	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0
1700003I16Rik	0	1	0	0	0	0	0	0	1	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	1	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	1	1	0	1	4	0	3
1700006F04Rik	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	1	0	0	0	2	0	0	1	0	0
1700006P03Rik	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	0	0	0	0	0	0	0	0
1700007J10Rik	2	2	0	0	1	0	6	0	4	1
1700007K09Rik	0	0	0	2	0	1	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0	0	0
1700007L15Rik	69	58	69	80	87	91	86	95	52	111
1700007M16Rik	0	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	0	0	0	0	0
1700008B11Rik	0	0	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	24	15	18	22	29	23	46	25	11	39
1700008K24Rik	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	3	0	0	2	0	0	3	0
1700008P02Rik	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	2	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0
1700010B13Rik	0	0	0	0	0	0	1	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	57	58	53	61	61	35	96	61	58	95
1700010J16Rik	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	0	1	1	0	2	4	4	2	1	1
1700010L04Rik	0	0	1	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	3	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0	0	0
1700011D18Rik	0	0	0	1	0	1	0	0	0	0
1700011H14Rik	0	7	6	0	0	0	0	2	0	4
1700011I03Rik	0	0	0	0	0	0	0	0	0	0
1700011L03Rik	9	4	1	6	3	1	21	9	4	4
1700011L22Rik	0	0	0	3	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	4	2	8	16	7	10	12	12	6	10
1700012B09Rik	0	0	0	0	0	0	0	0	0	0
1700012C08Rik	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	0	0
1700012D14Rik	111	85	122	145	115	130	179	135	116	243
1700012D16Rik	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	2	0	0	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0
1700013A02Rik	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0	0	0
1700014F14Rik	0	0	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0	0	0	0	0
1700015C17Rik	6	1	4	4	2	5	5	2	4	7
1700015F17Rik	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0	0	0	0	0
1700015O11Rik	0	1	0	0	0	1	0	0	0	2
1700016A09Rik	1	0	1	0	0	0	0	0	0	1
1700016B01Rik	0	0	0	0	0	0	0	0	0	0
1700016B15Rik	0	0	2	2	1	4	0	2	0	0
1700016C15Rik	4	4	1	4	3	2	0	1	1	11
1700016D06Rik	0	0	0	0	1	0	1	0	0	0
1700016D08Rik	0	0	0	0	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0	0	0	1	0
1700016G14Rik	0	0	2	3	5	3	2	0	0	7
1700016G22Rik	0	0	0	0	0	0	0	0	1	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0
1700016J18Rik	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	3	0	1	0
1700016L21Rik	0	1	0	0	0	0	0	0	0	0
1700016P03Rik	0	0	3	0	0	2	0	0	0	1
1700016P04Rik	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	2156	1382	1707	2120	2019	1771	2252	2293	1226	2374
1700017D01Rik	0	0	0	2	0	0	0	4	0	5
1700017G19Rik	0	0	3	0	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	2	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0	0	0
1700018A14Rik	0	0	0	2	0	5	0	1	2	2
1700018A23Rik	2	1	0	0	3	0	7	2	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	13	17	20	15	19	19	21	36	34	24
1700018M17Rik	3	0	0	0	1	1	0	0	1	0
1700018P08Rik	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	1	0	0	0	2
1700019A23Rik	0	0	1	0	0	0	0	2	0	0
1700019C18Rik	0	0	3	1	3	3	7	0	1	3
1700019D03Rik	73	79	31	82	35	91	114	126	36	146
1700019E08Rik	0	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0
1700019J19Rik	2	0	6	3	2	9	3	0	0	5
1700019M22Rik	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	3	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	1	0	0	0	0	0	0	0	0
1700020D05Rik	0	1	0	1	2	3	0	1	0	4
1700020D12Rik	0	0	0	0	0	0	0	0	0	0
1700020G03Rik	0	0	0	0	0	0	1	2	0	0
1700020G17Rik	1	0	0	0	0	0	0	0	0	0
1700020I14Rik	2881	2625	3431	2649	2661	2696	3425	3634	2572	3592
1700020L24Rik	39	33	15	39	38	30	43	35	9	48
1700020M21Rik	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	3	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	1	0	0	0	0	6	0	1
1700021A07Rik	59	84	114	58	74	56	88	86	50	71
1700021F02Rik	0	0	0	0	1	1	1	0	0	0
1700021F05Rik	250	218	214	238	224	221	261	276	142	253
1700021F07Rik	0	0	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0	0	0
1700021J08Rik	4	7	7	8	5	7	6	10	7	8
1700021L23Rik	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	1	1	0	0	2	0	2	0	0	1
1700022H16Rik	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	1	0	0	0	2
1700022N22Rik	1	4	13	5	9	9	8	8	0	13
1700023C21Rik	0	0	0	0	1	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	15	3	13	11	3	8	8	22	3	2
1700024B05Rik	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	157	135	113	127	72	137	176	118	132	118
1700025H01Rik	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0
1700025N21Rik	4	2	5	2	3	2	2	2	5	3
1700025N23Rik	0	0	0	1	0	0	0	0	0	0
1700025O08Rik	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	9	3	6	19	11	9	9	8	5	9
1700026F02Rik	0	0	0	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0	0	0
1700027A07Rik	0	0	2	0	1	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	3	0	0	0	4	7	13
1700027H10Rik	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	4	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	5	0	1
1700028D13Rik	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	190	192	230	181	216	192	263	287	212	395
1700028I16Rik	0	0	4	0	5	0	0	0	0	8
1700028J19Rik	9	17	12	15	26	12	27	16	3	15
1700028K03Rik	1	0	0	5	1	0	0	3	0	1
1700028M03Rik	0	0	0	0	0	0	0	0	0	0
1700028N14Rik	24	10	29	19	21	12	39	18	12	5
1700028P14Rik	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	16	7	12	4	4	9	8	0	2	7
1700029I15Rik	21	29	11	25	13	16	37	15	16	20
1700029J03Rik	0	0	2	1	1	0	0	0	0	0
1700029J07Rik	23	20	32	18	27	27	38	38	21	13
1700029M03Rik	0	0	0	0	0	0	0	0	0	1
1700029M20Rik	0	0	2	0	0	0	0	0	0	0
1700029N11Rik	0	1	0	0	0	0	0	3	0	0
1700029P11Rik	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	1	0	0	0	0
1700030C10Rik	28	18	13	7	25	25	9	17	12	12
1700030C12Rik	0	0	0	0	0	0	0	0	0	0
1700030C14Rik	0	0	0	0	0	0	0	0	0	0
1700030E10Rik	0	0	0	0	0	2	0	2	1	1
1700030F04Rik	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	0	8	1	18	0	12	6	10	8	1
1700030K09Rik	197	152	105	154	137	151	172	118	138	145
1700030L20Rik	0	0	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	1	0	0	0	0	0	0
1700030M09Rik	6	1	2	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0
1700030N18Rik	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	3	0	0	0	0	11	0	0	0	0
1700034I23Rik	2	4	6	2	4	0	0	0	0	0
1700034J04Rik	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	2	1	1	0	0	3	4	4	4	1
1700036A12Rik	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	156	115	87	100	123	99	127	153	86	166
1700037F03Rik	0	0	0	0	0	0	0	0	0	0
1700037F24Rik	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	293	212	232	365	270	292	415	325	222	424
1700039E22Rik	0	0	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	1	4	0	1	2	1	0	0	0	0
1700039M15Rik	0	0	0	0	0	0	0	0	0	0
1700040D17Rik	0	0	0	0	0	2	0	0	0	2
1700040E09Rik	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0	0	0
1700040L08Rik	5	1	5	0	1	0	0	0	1	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0
1700041G16Rik	10	15	7	27	15	8	14	20	7	17
1700041I07Rik	1	0	0	0	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0
1700042D02Rik	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	2	0	0	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	1	0	0	0	0	0	2	0	0	0
1700047F07Rik	0	0	0	0	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	4	6	2	1	0
1700047G07Rik	0	0	0	1	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0	0	0
1700047K16Rik	2	1	0	4	1	2	0	0	0	4
1700047L14Rik	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	1	0	0	0	0	0	0	0	3	0
1700047N06Rik	0	2	0	0	0	0	2	0	1	0
1700047O18Rik	0	0	0	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0	0	0	0
1700048M11Rik	1	5	2	1	6	0	0	6	0	1
1700048O20Rik	39	31	31	43	21	50	37	75	46	74
1700048P04Rik	0	0	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0
1700049J03Rik	0	0	0	0	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0
1700051K13Rik	0	0	0	0	0	1	0	0	0	0
1700051O22Rik	0	0	0	0	1	0	2	2	2	0
1700052H01Rik	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	151	114	140	137	149	95	175	190	73	132
1700054A03Rik	0	0	0	0	0	0	0	0	0	0
1700054K02Rik	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0
1700054O05Rik	0	0	0	0	0	0	0	0	0	0
1700054O19Rik	1	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0
1700055D18Rik	3	12	4	11	10	11	7	22	8	21
1700056E22Rik	32	16	14	25	29	29	30	20	35	32
1700056N10Rik	65	52	48	41	38	28	60	36	51	79
1700057G04Rik	0	0	0	0	0	1	0	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	1	0	0	0	0
1700058P15Rik	7	9	13	6	8	10	12	5	4	11
1700060C16Rik	0	1	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0
1700060J05Rik	1	0	0	0	0	0	0	0	0	0
1700060O08Rik	0	0	0	0	0	0	0	0	0	0
1700061E17Rik	0	0	0	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	3	1	5	4	2	4	7	4	2	8
1700061H18Rik	0	0	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0	0	0
1700063H04Rik	0	0	0	0	0	1	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0	0	0	0
1700063I16Rik	0	0	0	0	0	0	0	0	0	0
1700063K16Rik	0	0	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	1	3	2	2	2	2	4	2	2	6
1700064J06Rik	0	0	0	0	0	0	0	0	0	0
1700064M15Rik	2	1	0	0	2	0	3	0	2	6
1700065D16Rik	0	5	15	8	3	4	1	0	11	8
1700065I16Rik	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	1	0	0	0	0	0	0	0	0
1700066B19Rik	45	31	35	70	38	62	59	45	35	57
1700066C05Rik	0	0	0	0	0	0	0	0	0	0
1700066J03Rik	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	180	177	235	176	103	120	172	314	179	232
1700066N21Rik	0	0	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	3	5	6	10	11	10	21	22	0	4
